source,file,strategy,coin,pair,n_trades,roi_pct,win_rate_pct,max_dd_pct,sharpe,sortino,profit_factor,timerange,score
freqtrade_zip,backtest-result-2026-06-03_01-19-02.zip,BtcAiShieldV3Strategy,BTC,BTC/USDT,7,11.45,42.857142857142854,0.19961458623602654,0.04616769070989963,0.09826542106254235,1.365322862855467,2024-01-01 00:00:00~2025-01-01 00:00:00,11.512447734626942
freqtrade_zip,backtest-result-2026-06-03_01-19-06.zip,BtcAiShieldV3Strategy,BTC,BTC/USDT,1,17.0,100.0,0.0,-100.0,-100.0,0.0,2025-01-01 00:00:00~2026-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_01-19-09.zip,BtcAiShieldV3Strategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01 00:00:00~2026-05-29 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_01-20-10.zip,BtcAiShieldV3Strategy,BTC,BTC/USDT,8,76.89,87.5,0.17475839336883478,0.2629922678832611,-100.0,4.769706288297525,2021-01-01 00:00:00~2022-01-01 00:00:00,79.17040589209495
freqtrade_zip,backtest-result-2026-06-03_01-20-13.zip,BtcAiShieldV3Strategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 00:00:00~2023-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_01-20-17.zip,BtcAiShieldV3Strategy,BTC,BTC/USDT,6,40.91,100.0,0.0,0.6624566532693266,-100.0,0.0,2023-01-01 00:00:00~2024-01-01 00:00:00,47.53456653269326
freqtrade_zip,backtest-result-2026-06-03_01-20-21.zip,BtcAiShieldV3Strategy,BTC,BTC/USDT,7,29.55,42.857142857142854,0.1811199690887001,0.10122942269089683,0.24385211875160473,1.945410136993608,2024-01-01 00:00:00~2025-01-01 00:00:00,30.200054288731568
freqtrade_zip,backtest-result-2026-06-03_01-20-25.zip,BtcAiShieldV3Strategy,BTC,BTC/USDT,1,17.0,100.0,0.0,-100.0,-100.0,0.0,2025-01-01 00:00:00~2026-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_01-20-28.zip,BtcAiShieldV3Strategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01 00:00:00~2026-05-29 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_01-25-44.zip,MultiCycleShieldStrategy,BTC,BTC/USDT,8,95.31,87.5,0.07930397167373472,0.4295488220648948,-100.0,11.277869022153084,2021-01-01 00:00:00~2022-01-01 00:00:00,99.44688027730147
freqtrade_zip,backtest-result-2026-06-03_01-25-47.zip,MultiCycleShieldStrategy,BTC,BTC/USDT,1,-12.9,0.0,0.12897426412999993,-100.0,-100.0,0.0,2022-01-01 00:00:00~2023-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_01-25-51.zip,MultiCycleShieldStrategy,BTC,BTC/USDT,6,75.78,100.0,0.0,0.6832574564247355,-100.0,0.0,2023-01-01 00:00:00~2024-01-01 00:00:00,82.61257456424735
freqtrade_zip,backtest-result-2026-06-03_01-25-54.zip,MultiCycleShieldStrategy,BTC,BTC/USDT,2,33.67,100.0,0.0,0.11165941653195582,-100.0,0.0,2024-01-01 00:00:00~2025-01-01 00:00:00,34.786594165319556
freqtrade_zip,backtest-result-2026-06-03_01-25-57.zip,MultiCycleShieldStrategy,BTC,BTC/USDT,2,8.42,50.0,0.05061398381886764,0.04410207091563372,-100.0,2.455929201358192,2025-01-01 00:00:00~2026-01-01 00:00:00,8.759792741518602
freqtrade_zip,backtest-result-2026-06-03_01-26-00.zip,MultiCycleShieldStrategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01 00:00:00~2026-05-29 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_01-26-04.zip,MultiCycleShieldStrategy,ETH,ETH/USDT,8,148.01,62.5,0.14360410200887294,0.2751134514157466,1.1081466813269214,5.4523100947984755,2021-01-01 00:00:00~2022-01-01 00:00:00,150.4739263101397
freqtrade_zip,backtest-result-2026-06-03_01-26-07.zip,MultiCycleShieldStrategy,ETH,ETH/USDT,1,-11.11,0.0,0.11109084445200006,-100.0,-100.0,0.0,2022-01-01 00:00:00~2023-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_01-26-10.zip,MultiCycleShieldStrategy,ETH,ETH/USDT,3,49.11,100.0,0.0,0.6521179092300533,-100.0,0.0,2023-01-01 00:00:00~2024-01-01 00:00:00,55.631179092300535
freqtrade_zip,backtest-result-2026-06-03_01-26-13.zip,MultiCycleShieldStrategy,ETH,ETH/USDT,2,3.85,50.0,0.008499023999110485,0.07140083068312854,-100.0,5.327594551743302,2024-01-01 00:00:00~2025-01-01 00:00:00,4.5470102588330645
freqtrade_zip,backtest-result-2026-06-03_01-26-16.zip,MultiCycleShieldStrategy,ETH,ETH/USDT,1,37.75,100.0,0.0,-100.0,-100.0,0.0,2025-01-01 00:00:00~2026-01-01 00:00:00,-999.0
